Id,Name,Period,Wikipedia URL
ld1-1643399756728-1643399756953-1,Isaac Lea,4 Mar 1792 - 8 Dec 1886,https://en.wikipedia.org/wiki/Isaac_Lea
ld1-1643399756728-1643399756954-0,John Ericsson,31 Jul 1803 - 8 Mar 1889,https://en.wikipedia.org/wiki/John_Ericsson
ld1-1643399756728-1643399757052-0,Henry Clay,12 Apr 1777 - 29 Jun 1852,https://en.wikipedia.org/wiki/Henry_Clay
ld1-1643399756728-1643399757145-0,Thomas Jefferson,13 Apr 1743 - 4 Jul 1826,https://en.wikipedia.org/wiki/Thomas_Jefferson
ld1-1643399756728-1643399757234-0,John Caldwell Calhoun,18 Mar 1782 - 31 Mar 1850,https://en.wikipedia.org/wiki/John_Caldwell_Calhoun
ld1-1643399756728-1643399757305-1,Parke Godwin,25 Feb 1816 - 7 Jan 1904,https://en.wikipedia.org/wiki/Parke_Godwin_(journalist)
ld1-1643399756728-1643399757377-1,John Sergeant,5 Dec 1779 - 25 Nov 1852,https://en.wikipedia.org/wiki/John_Sergeant_(politician)
ld1-1643399756728-1643399757378-1,Joseph Jefferson,20 Feb 1829 - 23 Apr 1905,https://en.wikipedia.org/wiki/Joseph_Jefferson
ld1-1643399756728-1643399757411-0,Cornelius Vanderbilt,27 May 1794 - 4 Jan 1877,https://en.wikipedia.org/wiki/Cornelius_Vanderbilt
ld1-1643399756728-1643399757649-2,Joseph Story,18 Sep 1779 - 10 Sep 1845,https://en.wikipedia.org/wiki/Joseph_Story
ld1-1643399756728-1643399757815-0,Harrison Gray Otis,8 Oct 1765 - 28 Oct 1848,https://en.wikipedia.org/wiki/Harrison_Gray_Otis_(politician)
ld1-1643399756728-1643399757849-1,Benjamin Harrison,20 Aug 1833 - 13 Mar 1901,https://en.wikipedia.org/wiki/Benjamin_Harrison
ld1-1643399756728-1643399757960-0,Joseph Moody,1763 - 1839,-
ld1-1643399756728-1643399758079-0,Rev. John Carroll,8 Jan 1735 - 3 Dec 1815,https://en.wikipedia.org/wiki/John_Carroll_(archbishop)
ld1-1643399756728-1643399758082-0,Peggy Bacon,2 May 1895 - 4 Jan 1987,https://en.wikipedia.org/wiki/Peggy_Bacon
